business_id,business_name,business_address,business_city,business_state,business_postal_code,business_latitude,business_longitude,business_location,business_phone_number,inspection_id,inspection_date,inspection_score,inspection_type,violation_id,violation_description,risk_category,Neighborhoods (old),Police Districts,Supervisor Districts,Fire Prevention Districts,Zip Codes,Analysis Neighborhoods
69957,Daigo Sushi,2450 Clement St,San Francisco,CA,94121,,,,+14155388008,69957_20190403,2019-04-03T00:00:00.000,86,Routine - Unscheduled,69957_20190403_103132,Improper thawing methods,Moderate Risk,,,,,,
3547,Golden Star Vietnamese Restaurant,11 Walter U Lum Pl,San Francisco,CA,94108,37.794555,-122.405724,"{'type': 'Point', 'coordinates': [-122.405724, 37.794555]}",,3547_20190723,2019-07-23T00:00:00.000,90,Routine - Unscheduled,3547_20190723_103157,Food safety certificate or food handler card not available,Low Risk,4,1,10,3,28857,6
98866,TURO CAFE AND GRILL LLC,2275 SAN JOSE AVE,San Francisco,CA,94112,,,,+14150218806,98866_20190201,2019-02-01T00:00:00.000,,New Ownership - Followup,,,,,,,,,
70365,The Chapel,777 Valencia St,San Francisco,CA,94110,,,,+14150861354,70365_20190730,2019-07-30T00:00:00.000,,Complaint,70365_20190730_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk,,,,,,
97371,CAFE ENVY,1701 Yosemite Ave,San Francisco,CA,94124,,,,,97371_20180822,2018-08-22T00:00:00.000,,New Ownership,,,,,,,,,
82394,Senor Sisig #4,Off The Grid,San Francisco,CA,,,,,,82394_20181025,2018-10-25T00:00:00.000,92,Routine - Unscheduled,82394_20181025_103120,Moderate risk food holding temperature,Moderate Risk,,,,,,
100204,CUIA ACAI & POSITIVE FOOD,1 MARKET ST STE 8,San Francisco,CA,94105,,,,+14158609815,100204_20190617,2019-06-17T00:00:00.000,,New Construction,,,,,,,,,
24437,Caffe Baonecci,516 Green St,San Francisco,CA,94133,37.799732,-122.407589,"{'type': 'Point', 'coordinates': [-122.407589, 37.799732]}",,24437_20190605,2019-06-05T00:00:00.000,96,Routine - Unscheduled,24437_20190605_103157,Food safety certificate or food handler card not available,Low Risk,23,1,10,3,308,23
86670,Jika Ramen & Gold Curry Sushi,3925 Irving St,San Francisco,CA,94122,,,,+14155772888,86670_20190529,2019-05-29T00:00:00.000,75,Routine - Unscheduled,86670_20190529_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk,,,,,,
87339,In Situ,151 3rd St,San Francisco,CA,94103,,,,,87339_20190128,2019-01-28T00:00:00.000,,Reinspection/Followup,,,,,,,,,
